x_0	f(x)
$flags auto[subscript]:8	auto[subscript]:8
3.16693000e-05	-4.00001451e+00
3.93767059e-03	-2.65736805e+00
7.84367188e-03	-2.41610948e+00
1.17496732e-02	-2.26521733e+00
1.56556745e-02	-2.15309327e+00
1.95616758e-02	-2.06288715e+00
2.34676771e-02	-1.98688309e+00
2.73736783e-02	-1.92087588e+00
3.12796796e-02	-1.86231034e+00
3.51856809e-02	-1.80951287e+00
3.90916822e-02	-1.76132528e+00
4.29976835e-02	-1.71691137e+00
4.69036848e-02	-1.67564694e+00
5.08096861e-02	-1.63705311e+00
5.47156874e-02	-1.60075418e+00
5.86216887e-02	-1.56644969e+00
6.25276900e-02	-1.53389543e+00
6.64336913e-02	-1.50289011e+00
7.03396926e-02	-1.47326578e+00
7.42456938e-02	-1.44488074e+00
7.81516951e-02	-1.41761434e+00
8.20576964e-02	-1.39136295e+00
8.59636977e-02	-1.36603686e+00
8.98696990e-02	-1.34155786e+00
9.37757003e-02	-1.31785736e+00
9.76817016e-02	-1.29487485e+00
1.01587703e-01	-1.27255666e+00
1.05493704e-01	-1.25085493e+00
1.09399705e-01	-1.22972684e+00
1.13305707e-01	-1.20913388e+00
1.17211708e-01	-1.18904130e+00
1.21117709e-01	-1.16941761e+00
1.25023711e-01	-1.15023421e+00
1.28929712e-01	-1.13146501e+00
1.32835713e-01	-1.11308616e+00
1.36741715e-01	-1.09507580e+00
1.40647716e-01	-1.07741382e+00
1.44553717e-01	-1.06008170e+00
1.48459718e-01	-1.04306231e+00
1.52365720e-01	-1.02633981e+00
1.56271721e-01	-1.00989950e+00
1.60177722e-01	-9.93727716e-01
1.64083724e-01	-9.77811731e-01
1.67989725e-01	-9.62139668e-01
1.71895726e-01	-9.46700427e-01
1.75801727e-01	-9.31483617e-01
1.79707729e-01	-9.16479495e-01
1.83613730e-01	-9.01678909e-01
1.87519731e-01	-8.87073255e-01
1.91425733e-01	-8.72654427e-01
1.95331734e-01	-8.58414784e-01
1.99237735e-01	-8.44347107e-01
2.03143736e-01	-8.30444575e-01
2.07049738e-01	-8.16700729e-01
2.10955739e-01	-8.03109448e-01
2.14861740e-01	-7.89664926e-01
2.18767742e-01	-7.76361648e-01
2.22673743e-01	-7.63194371e-01
2.26579744e-01	-7.50158105e-01
2.30485746e-01	-7.37248095e-01
2.34391747e-01	-7.24459808e-01
2.38297748e-01	-7.11788918e-01
2.42203749e-01	-6.99231290e-01
2.46109751e-01	-6.86782972e-01
2.50015752e-01	-6.74440181e-01
2.53921753e-01	-6.62199293e-01
2.57827755e-01	-6.50056835e-01
2.61733756e-01	-6.38009475e-01
2.65639757e-01	-6.26054012e-01
2.69545758e-01	-6.14187371e-01
2.73451760e-01	-6.02406596e-01
2.77357761e-01	-5.90708841e-01
2.81263762e-01	-5.79091366e-01
2.85169764e-01	-5.67551529e-01
2.89075765e-01	-5.56086782e-01
2.92981766e-01	-5.44694667e-01
2.96887767e-01	-5.33372810e-01
3.00793769e-01	-5.22118914e-01
3.04699770e-01	-5.10930761e-01
3.08605771e-01	-4.99806202e-01
3.12511773e-01	-4.88743157e-01
3.16417774e-01	-4.77739611e-01
3.20323775e-01	-4.66793607e-01
3.24229777e-01	-4.55903249e-01
3.28135778e-01	-4.45066697e-01
3.32041779e-01	-4.34282159e-01
3.35947780e-01	-4.23547897e-01
3.39853782e-01	-4.12862219e-01
3.43759783e-01	-4.02223478e-01
3.47665784e-01	-3.91630068e-01
3.51571786e-01	-3.81080427e-01
3.55477787e-01	-3.70573030e-01
3.59383788e-01	-3.60106389e-01
3.63289789e-01	-3.49679050e-01
3.67195791e-01	-3.39289595e-01
